일시,광진구,동대문구,성동구,중랑구
20220101,4.4517292976379395,3.138827323913574,3.7530405521392822,2.208953619003296
20220102,3.507183313369751,2.5216357707977295,2.9571943283081055,1.7754671573638916
20220103,3.007030487060547,2.200486183166504,2.555493116378784,1.5317318439483643
20220104,3.5023891925811768,2.5045993328094482,2.9425160884857178,1.7585803270339966
20220105,3.4478228092193604,2.514064311981201,2.943794012069702,1.7742040157318115
20220106,3.593317747116089,2.6116790771484375,3.070634365081787,1.8434545993804932
20220107,3.8416316509246826,2.756047010421753,3.271519660949707,1.9537115097045898
20220108,3.810490131378174,2.7407524585723877,3.2460591793060303,1.9431430101394653
20220109,3.1488327980041504,2.30834698677063,2.676675796508789,1.625924825668335
20220110,3.056525707244873,2.2355270385742188,2.5989387035369873,1.5608270168304443
20220111,3.280921459197998,2.3386547565460205,2.7453346252441406,1.6298463344573975
20220112,3.478585958480835,2.536355972290039,2.9717657566070557,1.789813756942749
20220113,3.4568567276000977,2.524153232574463,2.9507405757904053,1.7826011180877686
20220114,2.828518867492676,2.07963490486145,2.3990187644958496,1.4569776058197021
20220115,2.3272504806518555,1.7591935396194458,1.9824410676956177,1.2089431285858154
20220116,2.3328003883361816,1.7665730714797974,1.9885379076004028,1.2130823135375977
20220117,3.1381893157958984,2.2794249057769775,2.6747944355010986,1.5963752269744873
20220118,3.299121379852295,2.3894286155700684,2.7806196212768555,1.6686797142028809
20220119,3.6644325256347656,2.663083791732788,3.1339588165283203,1.8821779489517212
20220120,3.727250337600708,2.690687894821167,3.1760201454162598,1.9075684547424316
20220121,3.5892221927642822,2.6144754886627197,3.0705153942108154,1.8450746536254883
20220122,3.8138248920440674,2.738905429840088,3.246347665786743,1.9421871900558472
20220123,3.1434364318847656,2.2999393939971924,2.670149087905884,1.6189758777618408
20220124,3.102630615234375,2.2584152221679688,2.639037609100342,1.5806612968444824
20220125,3.317234992980957,2.398075819015503,2.794962167739868,1.6706969738006592
20220126,3.7255570888519287,2.691187620162964,3.1772663593292236,1.9043145179748535
20220127,3.7499842643737793,2.7034730911254883,3.196110725402832,1.9141418933868408
20220128,3.7499842643737793,2.7034730911254883,3.196110725402832,1.9141418933868408
20220129,3.6645328998565674,2.6512465476989746,3.1234803199768066,1.8752135038375854
20220130,3.0078535079956055,2.2314600944519043,2.566218376159668,1.5675604343414307
20220131,3.08744478225708,2.2945961952209473,2.6501572132110596,1.6160025596618652
20220201,3.2475576400756836,2.353853702545166,2.738215208053589,1.660653829574585
20220202,2.696068286895752,2.0105438232421875,2.314152479171753,1.3863987922668457
20220203,4.065013885498047,2.8640801906585693,3.457915782928467,2.022838830947876
20220204,4.065013885498047,2.8640801906585693,3.457915782928467,2.022838830947876
20220205,4.00522518157959,2.8293936252593994,3.405176877975464,2.002176523208618
20220206,3.8289947509765625,2.74892258644104,3.255467653274536,1.96249258518219
20220207,4.37419319152832,3.108635902404785,3.7178633213043213,2.242499828338623
20220208,3.5133163928985596,2.4560022354125977,2.928424835205078,1.7030894756317139
20220209,4.039911270141602,2.8442490100860596,3.4346420764923096,2.0085697174072266
20220210,3.8721749782562256,2.712404251098633,3.2824409008026123,1.9106591939926147
20220211,3.6810944080352783,2.5703155994415283,3.1171021461486816,1.802267074584961
20220212,3.877845048904419,2.7216620445251465,3.2890453338623047,1.917832612991333
20220213,3.5866332054138184,2.5466065406799316,3.0363032817840576,1.802489161491394
20220214,4.16162109375,2.9474992752075195,3.5294578075408936,2.1140167713165283
20220215,3.5133163928985596,2.4560022354125977,2.928424835205078,1.7030894756317139
20220216,4.065013885498047,2.8640801906585693,3.457915782928467,2.022838830947876
20220217,3.9512641429901123,2.7760086059570312,3.353715181350708,1.9591898918151855
20220218,3.6246609687805176,2.5268118381500244,3.0639710426330566,1.7700358629226685
20220219,3.6133124828338623,2.544132709503174,3.0596916675567627,1.7921615839004517
20220220,3.5602192878723145,2.5389256477355957,3.010511875152588,1.8074901103973389
20220221,3.859278440475464,2.728654623031616,3.2627499103546143,1.9356993436813354
20220222,3.857184648513794,2.7361338138580322,3.242841958999634,1.9145963191986084
20220223,3.9404289722442627,2.7627475261688232,3.342410087585449,1.9490622282028198
20220224,3.5798237323760986,2.4915101528167725,3.0243024826049805,1.744408130645752
20220225,3.6953415870666504,2.601271867752075,3.1330676078796387,1.8290561437606812
20220226,3.8502044677734375,2.7410812377929688,3.2704882621765137,1.9437636137008667
20220227,3.5497844219207764,2.5314013957977295,3.001378297805786,1.8017886877059937
20220228,3.896876096725464,2.751004934310913,3.298475742340088,1.951303243637085
20220301,3.867572784423828,2.748715877532959,3.2555341720581055,1.9233428239822388
20220302,4.634984493255615,3.1715943813323975,3.92061185836792,2.2778446674346924
20220303,7.448733806610107,5.199337482452393,6.507639408111572,3.939335346221924
